Company,Industry
CPG,Oil & Gas E&P
FIVN,Software - Infrastructure
GBDC,Asset Management
GME,Specialty Retail
HOMB,Banks - Regional
INTA,Software - Application
IPGP,Semiconductor Equipment & Materials
KFY,Staffing & Employment Services
LITE,Communication Equipment
PAGS,Software - Infrastructure
POR,Utilities - Regulated Electric
QDEL,Medical Instruments & Supplies
R,Rental & Leasing Services
RNG,Software - Application
SITC,REIT - Retail
SKT,REIT - Retail
SPT,Software - Application
SXT,Specialty Chemicals
THG,Insurance - Property & Casualty
TMHC,Residential Construction
VMI,Conglomerates
VVV,Oil & Gas Refining & Marketing
YY,Internet Content & Information
ARCB,Trucking
AUB,Banks - Regional
GDRX,Health Information Services
GLPG,Biotechnology
INDB,Banks - Regional
MGPI,Beverages - Wineries & Distilleries
MOD,Auto Parts
RNW,Utilities - Renewable
TR,Confectioners
